PRNAME,CARUID,crop,forecastYear,forecastMonth,PR ID,Forecasted Median Yield,Forecasted 10th Percentile Worst Yield,Forecasted 90th Percentile Best Yield,% Departure from the Long Term (1987-last year) Mean Yield,% Departure from the Last 5 Years (2019-2023) Mean Yield,% Departure from Last Year's Mean Yield,Crop Potential Index,Bravis-Pearson Coefficients of Determination (R2),Root Mean Square Error,LATITUDE,LONGITUDE
British Columbia / Colombie-Britannique,5901,barley,2024,7,59,59.45,44.57,74.33,4.03,-0.78,7.7,-0.03,0.39,10.21,53.85300064,-125.2580032
British Columbia / Colombie-Britannique,5908,barley,2024,7,59,54.86,43.32,66.4,5.08,8.59,-0.62,0.47,0.53,7.2,57.69950104,-123.1610031
Alberta,4830,barley,2024,7,48,75.29,64.53,86.05,19.15,7.28,25.07,0.32,0.78,5.19,51.08769989,-115.1790009
Alberta,4850,barley,2024,7,48,77.7,67.25,88.14,13.26,1.57,-7.94,0.14,0.66,5.27,52.69950104,-114.6679993
Alberta,4870,barley,2024,7,48,68.21,60.2,76.22,21.79,11.74,15.6,0.79,0.7,4.67,56.94729996,-116.8280029
Alberta,4860,barley,2024,7,48,67.16,57.34,76.98,8.29,4.49,-10.81,0.23,0.7,4.94,56.47129822,-112.810997
Alberta,4820,barley,2024,7,48,69.62,58.48,80.76,11.13,8.75,35.46,0.27,0.79,5.18,50.52590179,-112.5500031
Alberta,4810,barley,2024,7,48,51.12,39.16,63.08,12.85,33.47,72.7,0.8,0.77,5.13,50.66460037,-110.9089966
Alberta,4840,barley,2024,7,48,75.59,64.03,87.15,36.18,9.43,10.68,0.48,0.87,4.97,52.48089981,-111.4990005
Alberta,4841,barley,2024,7,48,75.74,63.26,88.22,24.41,5.23,-2.02,0.36,0.82,5.25,53.36869812,-111.6920013
Saskatchewan,4704,barley,2024,7,47,47.21,34.38,60.04,8.63,9.63,23.58,0.27,0.74,5.47,49.53290176,-108.7890015
Saskatchewan,4703,barley,2024,7,47,41.94,30.02,53.85,1.1,3.96,30.24,0.09,0.76,5.3,49.54230118,-106.4049988
Saskatchewan,4702,barley,2024,7,47,52.64,42.31,62.98,26.11,-1.68,16.98,-0.11,0.77,4.76,49.52310181,-104.2490005
Saskatchewan,4701,barley,2024,7,47,67,55.38,78.61,28.31,0.63,12.79,0.05,0.73,6.14,49.52339935,-102.3099976
Saskatchewan,4708,barley,2024,7,47,49.44,34.16,64.72,5.48,38.56,121.69,0.79,0.74,6.97,50.71530151,-108.8300018
Saskatchewan,4713,barley,2024,7,47,65.55,53.54,77.56,33.72,24.58,34.88,0.73,0.73,6.62,52.15140152,-109.262001
Saskatchewan,4707,barley,2024,7,47,51.6,37.93,65.28,5.53,12.23,54.5,0.28,0.74,6.31,50.59840012,-106.6139984
Saskatchewan,4712,barley,2024,7,47,60.07,46.42,73.71,24.11,29.07,54.03,0.76,0.84,5.15,51.94589996,-107.7990036
Saskatchewan,4711,barley,2024,7,47,63.06,50.44,75.67,29.84,21.88,22.68,0.57,0.76,6.11,51.67309952,-106.0029984
Saskatchewan,4717,barley,2024,7,47,77.48,65.5,89.44,41.36,14.31,8.66,0.8,0.87,5.32,53.79119873,-108.9599991
Saskatchewan,4716,barley,2024,7,47,72.83,61.66,84,33.4,16.6,6.32,0.65,0.8,5.18,56.79359818,-105.9339981
Saskatchewan,4706,barley,2024,7,47,64.7,54.26,75.15,23.89,3.06,6.42,0.18,0.75,4.85,50.59830093,-104.3659973
Saskatchewan,4715,barley,2024,7,47,73,60.72,85.28,28.82,7.86,7.35,0.3,0.82,5.74,52.89289856,-105.586998
Saskatchewan,4710,barley,2024,7,47,68.61,57.34,79.87,25.26,1.62,-8.03,0.06,0.64,7.45,51.6393013,-104.1080017
